sector,price,area,noOfOpenSides,price_per_sqft,Maintenance_Staff,Water_Storage,Vaastu_Compliant,Rain_Water_Harvesting,Rating,Metro,Park,School,College,Hospital,Shrine,Mall,Airport,latitude,longitude
sector 43,1.1,538.0,1.0,0.0020446096654275,1.0,1.0,0.0,1.0,4.25,1,1,0,1,1,1,0,0,28.4629,77.0772
sector 47,7.2,3228.0,2.0,0.0022304832713754,0.0,0.0,0.0,1.0,4.75,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 50,11.6,5961.04,3.0,0.0019459691597439,1.0,1.0,0.0,1.0,4.75,0,0,1,1,1,0,1,0,28.4178,77.0628
sector 83,3.24,236.72,1.0,0.0136870564379858,1.0,0.0,0.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 41,9.0,3238.76,1.0,0.0027788412849362,0.0,0.0,1.0,0.0,5.0,1,1,1,1,1,0,0,0,28.4557,77.0632
sector 47,4.99,2367.2,1.0,0.0021079756674552,1.0,1.0,1.0,1.0,4.875,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 27,5.24,1839.96,1.0,0.0028478879975651,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,1,0,0,28.4658,77.0917
sector 57,4.75,2367.2,1.0,0.0020065900642108,1.0,0.0,0.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 60,6.1,2700.76,2.0,0.0022586234985707,1.0,0.0,1.0,1.0,4.375,0,0,1,0,0,0,0,0,28.4003,77.0975
sector 99,2.2,9899.2,1.0,0.0002222401810247,0.0,1.0,0.0,1.0,4.375,1,1,1,1,1,0,1,1,28.464,76.9614
sector 78,1.92,1334.24,1.0,0.0014390214654035,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,28.3733,76.9729
sector 73,9.4,4842.0,1.0,0.0019413465510119,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.4072,77.0118
sector 7,1.3,903.84,1.0,0.0014383076650734,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,0,28.4644,77.0143
sector 7,1.35,903.84,1.0,0.0014936271906532,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,0,28.4644,77.0143
sector 7,3.25,2248.84,1.0,0.0014451895199302,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,0,28.4644,77.0143
sector 4,3.15,2248.84,1.0,0.0014007221500862,1.0,1.0,1.0,1.0,5.0,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 9,2.7,1839.96,1.0,0.0014674232048522,1.0,1.0,1.0,1.0,4.0,1,1,1,0,0,0,0,0,28.4603,77.0
sector 9,3.45,2345.68,2.0,0.0014707888544046,1.0,1.0,1.0,1.0,4.0,1,1,1,0,0,0,0,0,28.4603,77.0
sector 9,2.75,1936.8,1.0,0.0014198678232135,1.0,1.0,1.0,1.0,4.0,1,1,1,0,0,0,0,0,28.4603,77.0
sector 9,3.4,2367.2,1.0,0.0014362960459614,1.0,1.0,1.0,1.0,4.0,1,1,1,0,0,0,0,0,28.4603,77.0
sector 4,3.25,2248.84,2.0,0.0014451895199302,1.0,1.0,1.0,1.0,5.0,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 48,0.81,538.0,1.0,0.0015055762081784,1.0,1.0,1.0,1.0,4.25,1,1,1,0,0,0,1,0,28.4177,77.0359
sector 46,2.1,925.36,2.0,0.0022693870493645,1.0,1.0,1.0,1.0,4.25,0,0,1,1,1,0,1,0,28.4374,77.0586
sector 57,3.6,1624.76,1.0,0.0022157118589822,1.0,0.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 55,9.96,2162.76,3.0,0.0046052266548299,0.0,1.0,1.0,1.0,4.25,1,1,0,0,0,1,1,0,28.4281,77.11
sector 57,1.8,903.84,1.0,0.0019915029208709,0.0,1.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 83,4.88,3593.84,2.0,0.0013578790374641,1.0,1.0,0.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 83,2.62,2162.76,1.0,0.0012114150437404,1.0,1.0,0.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 83,2.47,2162.76,2.0,0.0011420592206254,1.0,1.0,0.0,0.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 102,4.4,2700.76,2.0,0.0016291710481494,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 33,3.83,2248.84,1.0,0.0017031002650255,1.0,1.0,1.0,1.0,3.0,1,1,1,1,1,0,1,1,28.442,77.0207
sector 33,2.98,1732.36,1.0,0.0017201967258537,1.0,0.0,1.0,1.0,4.0,1,1,1,0,0,0,1,1,28.442,77.0207
sector 33,4.5,2711.52,1.0,0.0016595857673924,1.0,1.0,1.0,0.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,5.7,3378.64,1.0,0.0016870693533492,1.0,1.0,1.0,1.0,4.0,1,1,1,0,0,0,1,1,28.442,77.0207
sector 67,0.72,64.56,1.0,0.0111524163568773,1.0,0.0,0.0,0.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 12,0.45,1345.0,4.0,0.0003345724907063,0.0,1.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 50,5.0,3238.76,1.0,0.0015438007138534,1.0,1.0,1.0,1.0,4.75,0,0,1,1,1,0,1,0,28.4178,77.0628
sector 52,4.25,2367.2,1.0,0.0017953700574518,1.0,0.0,0.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 52,3.4,1872.24,2.0,0.0018160064948938,1.0,1.0,1.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 102,3.75,2248.84,1.0,0.0016675263691503,1.0,1.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 99a,1.15,1032.96,2.0,0.0011133054522924,1.0,1.0,0.0,1.0,3.25,1,1,1,1,1,0,1,1,28.4561,76.9542
sector 67,4.2,2700.76,1.0,0.001555117818688,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,5.95,3152.68,1.0,0.0018872832003248,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67a,3.64,2431.76,1.0,0.0014968582425897,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,0,1,1,28.396,77.0372
sector 67a,3.75,2431.76,1.0,0.0015420929697009,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,0,1,1,28.396,77.0372
sector 67a,4.46,2969.76,1.0,0.0015018048596519,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,0,1,1,28.396,77.0372
sector 67a,3.51,2431.76,1.0,0.00144339901964,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,0,1,1,28.396,77.0372
sector 67,6.53,4519.2,1.0,0.001444946008143,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,6.78,4519.2,1.0,0.0015002655337227,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,5.81,4745.16,2.0,0.0012244054994984,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,11.0,8995.36,1.0,0.0012228526707102,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,11.5,8995.36,1.0,0.0012784368830152,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,4.0,2248.84,1.0,0.0017786947937603,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,5.28,2969.76,1.0,0.0017779214481978,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 67,4.08,2442.52,2.0,0.0016704059741578,1.0,1.0,1.0,1.0,4.125,1,1,0,0,0,0,0,0,28.3859,77.0608
sector 85,1.9,1258.92,2.0,0.0015092301337654,1.0,1.0,1.0,1.0,4.875,0,0,0,0,0,0,0,0,28.4042,76.9513
sector 22,2.6,1452.6,1.0,0.0017898939832025,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5072,77.064
sector 65,8.5,3045.08,2.0,0.0027913880751901,1.0,0.0,0.0,0.0,4.25,0,0,1,1,1,0,1,1,28.403,77.069
sector 23,1.6,903.84,1.0,0.0017702248185519,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5121,77.0478
sector 23,7.0,4680.599999999999,1.0,0.0014955347605007,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5121,77.0478
sector 4,1.35,2431.76,1.0,0.0005551534690923,0.0,0.0,1.0,0.0,4.25,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 23,2.55,1452.6,1.0,0.001755472945064,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5121,77.0478
sector 21,5.1,4519.2,1.0,0.0011285183218268,0.0,0.0,1.0,0.0,4.625,0,0,1,1,1,0,1,0,28.5134,77.0723
sector 23,5.1,2969.76,1.0,0.0017173104897365,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5121,77.0478
sector 23,5.65,4519.2,1.0,0.0012502212781023,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5121,77.0478
sector 108,1.3,13493.04,1.0,9.634596799535168e-05,1.0,1.0,0.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 43,5.01,1936.8,2.0,0.002586741016109,1.0,1.0,0.0,0.0,5.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 55,0.96,538.0,1.0,0.0017843866171003,1.0,1.0,1.0,1.0,4.25,1,1,1,1,1,1,0,0,28.4281,77.11
sector 7,4.24,3475.48,1.0,0.0012199753703085,0.0,0.0,0.0,0.0,4.0,0,0,1,1,1,0,0,0,28.4644,77.0143
sector 26,5.0,1796.92,1.0,0.0027825390111969,1.0,1.0,0.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 24,7.1,2840.64,1.0,0.0024994367466486,1.0,1.0,0.0,0.0,4.5,1,1,0,0,0,1,0,0,28.4939,77.1038
sector 43,9.25,3766.0,1.0,0.0024561869357408,1.0,1.0,1.0,0.0,4.25,1,1,0,1,1,0,0,0,28.4629,77.0772
sector 27,4.5,1624.76,1.0,0.0027696398237278,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,1,0,0,28.4658,77.0917
sector 41,4.2,1624.76,1.0,0.0025849971688126,1.0,1.0,1.0,1.0,5.0,1,1,1,1,1,0,0,0,28.4557,77.0632
sector 25,15.5,4519.2,1.0,0.0034298105859444,1.0,1.0,1.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4844,77.086
sector 28,5.0,1839.96,1.0,0.002717450379356,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,1,1,0,28.4728,77.0865
sector 24,3.4,1463.36,1.0,0.0023234200743494,1.0,1.0,1.0,0.0,4.5,1,1,0,0,0,1,0,0,28.4939,77.1038
sector 25,6.25,1796.92,1.0,0.0034781737639961,1.0,1.0,0.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4844,77.086
sector 26,5.85,1796.92,1.0,0.0032555706431004,1.0,1.0,1.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 43,19.25,6628.16,1.0,0.0029042750929368,1.0,1.0,1.0,0.0,4.25,1,1,0,1,1,0,0,0,28.4629,77.0772
sector 43,6.4,2065.92,1.0,0.0030978934324659,1.0,1.0,1.0,0.0,4.0,1,1,0,0,0,1,1,0,28.4629,77.0772
sector 25,7.0,2248.84,1.0,0.0031127158890805,1.0,1.0,1.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4844,77.086
sector 43,9.85,3766.0,1.0,0.0026155071694105,1.0,1.0,1.0,0.0,5.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 102,4.37,2248.84,1.0,0.0019432240621831,1.0,1.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,6.43,4454.64,2.0,0.001443438751504,1.0,0.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,4.25,2722.28,1.0,0.0015611913543059,1.0,1.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,3.85,2248.84,1.0,0.0017119937389943,1.0,1.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,4.11,2248.84,3.0,0.0018276089005887,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,3.5,1796.92,2.0,0.0019477773078378,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,3.25,2022.88,3.0,0.0016066202641778,1.0,1.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 47,4.3,1732.36,1.0,0.0024821630607956,1.0,1.0,1.0,1.0,4.75,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 99a,1.58,1614.0,2.0,0.0009789343246592,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 99a,1.45,1484.88,2.0,0.0009765098863207,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 99a,1.32,1345.0,2.0,0.0009814126394052,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 99a,1.19,1215.88,2.0,0.0009787150047702,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 99a,1.06,1076.0,2.0,0.0009851301115241,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 102,2.36,1570.96,2.0,0.0015022661302642,1.0,1.0,1.0,1.0,4.125,0,0,1,1,1,1,0,0,28.475,76.9715
sector 102,2.16,1441.84,2.0,0.001498085779282,1.0,1.0,1.0,1.0,4.125,0,0,1,1,1,1,0,0,28.475,76.9715
sector 102,2.03,1301.96,2.0,0.0015591876862576,1.0,1.0,1.0,1.0,4.125,0,0,1,1,1,1,0,0,28.475,76.9715
sector 102,1.82,1172.84,2.0,0.0015517888202994,1.0,1.0,1.0,1.0,4.125,0,0,1,1,1,1,0,0,28.475,76.9715
sector 102,1.61,1032.96,2.0,0.0015586276332094,1.0,1.0,1.0,1.0,4.125,0,0,1,1,1,1,0,0,28.475,76.9715
sector 99,8.25,6746.52,2.0,0.0012228526707102,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 99,6.45,5799.64,2.0,0.001112137994772,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 99,5.64,4228.68,2.0,0.0013337495388631,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 99,5.33,3830.56,2.0,0.0013914414602564,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 99,4.47,3098.88,2.0,0.0014424566294919,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 102,5.36,3701.44,2.0,0.0014480850695945,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,3.5,2248.84,2.0,0.0015563579445402,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,3.04,2022.88,2.0,0.001502807877877,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,2.76,1775.4,2.0,0.0015545792497465,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 108,6.75,6746.52,2.0,0.0010005158214901,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,5.0,4497.68,2.0,0.0011116842461002,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,4.08,3593.84,2.0,0.0011352759165683,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,3.45,3228.0,2.0,0.0010687732342007,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.99,2442.52,2.0,0.0012241455545911,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.96,2259.6,2.0,0.0013099663657284,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.06,1936.8,2.0,0.0010636100784799,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.32,1732.36,2.0,0.0013392135583827,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.16,1624.76,2.0,0.0013294271153893,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.5134,76.983
sector 45,9.0,4519.2,1.0,0.0019915029208709,1.0,1.0,1.0,1.0,4.5,1,1,1,1,1,0,0,0,28.4466,77.066
sector 99,5.96,3830.56,2.0,0.0015559082745081,1.0,1.0,1.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 26,21.0,4497.68,2.0,0.0046690738336208,1.0,0.0,0.0,0.0,5.0,1,1,1,1,1,0,1,1,28.4757,77.1032
sector 28,7.5,2431.76,1.0,0.0030841859394019,1.0,1.0,1.0,1.0,4.75,1,1,0,1,1,1,1,0,28.4728,77.0865
sector 28,8.75,3217.24,1.0,0.0027197224950578,1.0,1.0,1.0,1.0,4.75,1,1,0,1,1,1,1,0,28.4728,77.0865
sector 56,7.5,4519.2,1.0,0.0016595857673924,1.0,1.0,1.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4245,77.0991
sector 52,2.1,903.84,1.0,0.0023234200743494,0.0,1.0,0.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 9,2.86,1839.96,1.0,0.0015543816169916,0.0,0.0,0.0,0.0,4.0,1,1,1,0,0,0,0,0,28.4603,77.0
sector 4,4.5,4949.599999999999,2.0,0.0009091643769193,0.0,1.0,1.0,0.0,5.0,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 4,3.05,2248.84,1.0,0.0013562547802422,0.0,0.0,0.0,1.0,5.0,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 99a,1.13,1129.8,2.0,0.0010001770224818,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 65,9.2,3593.84,1.0,0.0025599358903011,1.0,0.0,0.0,0.0,4.25,0,0,1,1,1,0,1,1,28.403,77.069
sector 41,9.0,3238.76,1.0,0.0027788412849362,1.0,0.0,0.0,0.0,5.0,1,1,1,1,1,0,0,0,28.4557,77.0632
sector 48,0.85,538.0,1.0,0.0015799256505576,1.0,1.0,1.0,1.0,4.25,1,1,1,0,0,0,1,0,28.4177,77.0359
sector 26,13.0,4519.2,1.0,0.0028766153301469,1.0,1.0,1.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 43,24.0,7402.88,1.0,0.0032419814990922,1.0,0.0,1.0,0.0,4.0,1,1,0,0,0,1,1,0,28.4629,77.0772
sector 49,7.8,3798.28,1.0,0.0020535610855439,1.0,0.0,1.0,0.0,5.0,0,0,0,0,0,1,1,0,28.4121,77.048
sector 45,3.2,1452.6,2.0,0.0022029464408646,0.0,0.0,0.0,1.0,4.25,1,1,1,1,1,0,0,0,28.4466,77.066
sector 25,13.2,5035.68,2.0,0.0026212944428557,1.0,0.0,1.0,1.0,5.0,1,1,0,0,0,1,0,0,28.4844,77.086
sector 73,2.3,1527.92,1.0,0.0015053144143672,0.0,1.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,28.4072,77.0118
sector 24,1.25,538.0,1.0,0.0023234200743494,1.0,1.0,1.0,1.0,4.5,1,1,0,0,0,1,0,0,28.4939,77.1038
sector 2,7.3,4680.599999999999,1.0,0.0015596291073793,0.0,0.0,0.0,0.0,4.75,1,1,1,1,1,1,1,0,28.5095,77.032
sector 26,14.0,4497.68,1.0,0.0031127158890805,1.0,1.0,1.0,1.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 99a,1.32,1345.0,2.0,0.0009814126394052,1.0,1.0,1.0,1.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 2,7.0,4680.599999999999,1.0,0.0014955347605007,1.0,0.0,0.0,0.0,4.75,1,1,1,1,1,1,1,0,28.5095,77.032
sector 33,2.49,1624.76,1.0,0.001532534035796,1.0,1.0,1.0,0.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 73,9.7,6456.0,3.0,0.0015024783147459,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,1,0,28.4072,77.0118
sector 7,6.6,3593.84,1.0,0.0018364757473899,0.0,0.0,0.0,0.0,4.0,0,0,1,1,1,0,0,0,28.4644,77.0143
sector 7,0.75,871.56,1.0,0.0008605259534627,0.0,1.0,0.0,0.0,4.0,0,0,1,1,1,1,0,0,28.4644,77.0143
sector 33,4.2,2291.88,2.0,0.0018325566783601,0.0,0.0,0.0,0.0,3.0,1,1,1,1,1,0,1,1,28.442,77.0207
sector 26,0.6,1194.36,1.0,0.0005023610971566,0.0,0.0,0.0,0.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 83,3.0,2162.76,2.0,0.0013871164622981,0.0,0.0,0.0,0.0,4.75,0,0,0,0,0,0,0,0,28.3986,76.9647
sector 57,2.6,1345.0,2.0,0.0019330855018587,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 73,5.25,2248.84,1.0,0.0023345369168104,1.0,1.0,0.0,1.0,3.0,1,1,1,1,1,0,1,1,28.4072,77.0118
sector 2,7.0,548.76,1.0,0.012756031780742,0.0,0.0,0.0,0.0,4.75,1,1,1,1,1,1,1,0,28.5095,77.032
sector 108,2.26,182.92,1.0,0.0123551279247758,0.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 33,3.2,152404.63999999998,3.0,2.099673605737988e-05,1.0,1.0,1.0,0.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 55,6.11,2700.76,1.0,0.0022623261600438,0.0,0.0,0.0,0.0,4.25,1,1,0,0,0,1,1,0,28.4281,77.11
sector 33,0.09,903.84,2.0,9.957514604354752e-05,0.0,1.0,0.0,0.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 37d,3.33,269.0,2.0,0.0123791821561338,0.0,0.0,0.0,0.0,4.0,1,1,0,0,0,0,0,0,28.4478,76.9703
sector 52,3.5,2367.2,3.0,0.0014785400473132,0.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 11,0.58,1969.08,1.0,0.0002945538017754,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4531,77.0202
sector 21,5.5,3077.36,1.0,0.001787246211038,0.0,0.0,0.0,0.0,4.625,0,0,1,1,1,0,1,0,28.5134,77.0723
sector 52,4.5,2367.2,2.0,0.0019009800608313,0.0,0.0,1.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 105,0.6,96.84,1.0,0.0061957868649318,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4952,77.0114
sector 33,3.85,2248.84,2.0,0.0017119937389943,1.0,1.0,1.0,1.0,3.0,1,1,1,0,0,0,1,1,28.442,77.0207
sector 102,3.71,2022.88,1.0,0.001834018824646,1.0,0.0,0.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 93,2.23,182.92,1.0,0.0121911218018806,0.0,0.0,0.0,0.0,3.0,0,0,0,1,1,0,1,1,28.4153,76.9326
sector 63,8.75,3077.36,2.0,0.0028433462448332,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.3971,77.0867
sector 22,0.9,451.92,2.0,0.0019915029208709,0.0,0.0,0.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5072,77.064
sector 43,9.0,2690.0,1.0,0.0033457249070631,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 57,6.0,2388.72,1.0,0.0025118054857831,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 9,1.4,2227.32,1.0,0.0006285580877467,0.0,0.0,0.0,0.0,4.75,0,0,1,0,0,1,0,0,28.4603,77.0
sector 55,5.9,2700.76,3.0,0.0021845702691094,0.0,0.0,0.0,0.0,4.25,1,1,0,0,0,1,1,0,28.4281,77.11
sector 38,1.25,538.0,1.0,0.0023234200743494,0.0,0.0,0.0,0.0,4.25,0,0,1,0,0,1,1,0,28.4347,77.043
sector 17,0.13,96.84,1.0,0.0013424204874019,0.0,0.0,0.0,0.0,3.5,1,1,1,1,1,0,1,1,28.4791,77.0608
sector 42,1.75,742.4399999999999,1.0,0.0023570928290501,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 4,7.5,195950.36,2.0,3.8274999852003336e-05,0.0,0.0,0.0,0.0,4.25,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 15,5.25,2517.84,2.0,0.0020851205795443,0.0,0.0,0.0,0.0,4.625,1,1,1,1,1,1,0,0,28.4621,77.0464
sector 3,0.8,86.08,1.0,0.0092936802973977,0.0,0.0,0.0,0.0,4.25,1,1,1,1,1,1,0,0,28.4909,77.0176
sector 33,3.5,182.92,1.0,0.019134047671113,0.0,0.0,0.0,0.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 30,4.46,4723.64,2.0,0.0009441871099406,0.0,0.0,0.0,0.0,5.0,1,1,1,1,1,0,0,0,28.4604,77.0579
sector 12,1.12,12148.04,1.0,9.21959427199779e-05,0.0,0.0,0.0,0.0,3.875,0,0,1,1,1,1,0,0,28.4723,77.032
sector 57,5.5,2722.28,1.0,0.0020203652820429,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 57,6.0,2722.28,2.0,0.0022040348531378,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 57,5.0,2367.2,4.0,0.0021122000675904,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 88b,1.8,1614.0,2.0,0.0011152416356877,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 10,2.7,161.4,1.0,0.0167286245353159,0.0,0.0,0.0,0.0,4.25,0,0,1,1,1,0,1,0,28.4537,77.0009
sector 12,0.55,1915.28,1.0,0.0002871642788521,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 50,7.0,2388.72,1.0,0.0029304397334137,0.0,0.0,0.0,0.0,4.75,0,0,1,1,1,0,1,0,28.4178,77.0628
badshahpur,0.25,96.84,2.0,0.0025815778603882,0.0,0.0,0.0,0.0,4.25,0,0,0,0,0,1,1,0,77.0466318,28.3933996
sector 12,0.8,1000.68,1.0,0.0007994563696686,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4723,77.032
