sector,price,area,noOfOpenSides,price_per_sqft,Maintenance_Staff,Water_Storage,Vaastu_Compliant,Rain_Water_Harvesting,Rating,Metro,Park,School,College,Hospital,Shrine,Mall,Airport,latitude,longitude
sector 88b,2.8,2808.36,1.0,0.0009970231736671,1.0,1.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 88b,3.52,2883.68,1.0,0.0012206624868223,1.0,1.0,1.0,1.0,4.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 88b,3.6,3593.84,1.0,0.0010017140440308,1.0,1.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 83,3.24,2162.76,2.0,0.001498085779282,1.0,1.0,1.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 83,2.04,2162.76,1.0,0.0009432391943627,1.0,1.0,1.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 88b,1.96,1603.24,1.0,0.001222524388114,1.0,1.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 51,2.7,1538.68,1.0,0.0017547508253827,0.0,0.0,1.0,1.0,4.5,0,0,1,1,1,1,0,0,28.432,77.0686
sector 102,5.46,3507.76,3.0,0.0015565489087052,1.0,0.0,0.0,0.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 102,12.93,12244.88,1.0,0.0010559515487289,1.0,0.0,0.0,0.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 67a,0.14,720.92,2.0,0.0001941963047217,1.0,0.0,0.0,0.0,4.5,0,0,0,0,0,1,0,0,28.396,77.0372
sector 12,0.16,807.0,1.0,0.0001982651796778,1.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 45,4.21,2367.2,1.0,0.0017784724569111,0.0,0.0,0.0,0.0,4.25,1,1,1,1,1,0,0,0,28.4466,77.066
sector 82,5.5,3303.32,2.0,0.0016649915842243,1.0,1.0,1.0,1.0,4.0,0,0,1,0,0,0,1,1,28.3935,76.96
sector 110,1.6,957.64,1.0,0.001670773986049,0.0,0.0,0.0,0.0,4.125,1,1,1,1,1,1,1,0,28.5145,77.0197
sector 47,2.8,1441.84,2.0,0.0019419630472174,1.0,1.0,1.0,1.0,4.875,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 47,2.84,1441.84,2.0,0.0019697053764634,1.0,1.0,1.0,1.0,4.875,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 47,2.83,1452.6,2.0,0.0019482307586396,1.0,1.0,1.0,1.0,4.875,0,0,1,1,1,0,1,0,28.4276,77.0492
sector 42,2.25,96.84,1.0,0.0232342007434944,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.4576,77.102
sector 26,10.0,494.96,1.0,0.0202036528204299,1.0,1.0,1.0,1.0,5.0,1,1,0,0,0,1,0,0,28.4757,77.1032
sector 63a,3.0,1614.0,1.0,0.0018587360594795,1.0,1.0,1.0,1.0,4.25,1,1,1,1,1,0,1,1,28.3923,77.0888
sector 28,10.0,3228.0,2.0,0.0030978934324659,1.0,1.0,0.0,0.0,4.75,1,1,0,1,1,1,1,0,28.4728,77.0865
sector 99a,1.32,1323.48,2.0,0.0009973705685012,1.0,0.0,0.0,0.0,3.25,0,0,1,1,1,0,1,1,28.4561,76.9542
sector 108,4.14,3238.76,2.0,0.0012782669910706,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.47,1936.8,2.0,0.0012752994630318,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.12,1624.76,1.0,0.0013048080947339,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 102,3.45,2248.84,1.0,0.0015341242596182,0.0,0.0,1.0,0.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 108,2.13,1624.76,1.0,0.0013109628498978,0.0,0.0,1.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,2.87,2248.84,2.0,0.001276213514523,0.0,0.0,1.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,4.95,4045.76,2.0,0.0012235031242584,0.0,0.0,1.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,3.28,2421.0,2.0,0.0013548120611317,0.0,0.0,1.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 24,8.5,505.72,1.0,0.0168077196867832,1.0,0.0,0.0,0.0,4.5,1,1,0,0,0,1,0,0,28.4939,77.1038
sector 24,11.25,4519.2,1.0,0.0024893786510886,1.0,1.0,0.0,0.0,4.5,1,1,0,0,0,1,0,0,28.4939,77.1038
sector 24,9.0,3615.36,1.0,0.0024893786510886,1.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4939,77.1038
sector 11,0.18,903.84,2.0,0.000199150292087,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.4531,77.0202
sector 11,0.26,247.48,2.0,0.0010505899466623,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.4531,77.0202
sector 11,0.15,1076.0,2.0,0.0001394052044609,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,1,0,28.4531,77.0202
badshahpur,0.15,96.84,2.0,0.0015489467162329,1.0,1.0,1.0,1.0,4.25,0,0,0,0,0,1,1,0,77.0466318,28.3933996
badshahpur,0.21,1796.92,2.0,0.0001168666384702,1.0,1.0,1.0,1.0,4.25,0,0,0,0,0,1,1,0,77.0466318,28.3933996
sector 11,0.17,903.84,2.0,0.0001880863869711,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,1,0,28.4531,77.0202
sector 11,0.16,1345.0,2.0,0.0001189591078066,1.0,1.0,1.0,1.0,4.0,1,1,1,1,1,0,1,1,28.4531,77.0202
sector 11,0.1,645.6,1.0,0.0001548946716232,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,1,0,28.4531,77.0202
sector 11,0.15,903.84,2.0,0.0001659585767392,0.0,1.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4531,77.0202
sector 12,0.12,720.92,1.0,0.0001664539754757,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 12,0.15,903.84,1.0,0.0001659585767392,0.0,0.0,0.0,0.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 12,0.12,720.92,2.0,0.0001664539754757,1.0,0.0,1.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 12,0.11,677.88,1.0,0.0001622706083672,1.0,0.0,1.0,0.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 12,0.07,451.92,1.0,0.0001548946716232,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 12,0.07,451.92,1.0,0.0001548946716232,0.0,0.0,0.0,0.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 12,0.07,451.92,1.0,0.0001548946716232,1.0,0.0,1.0,0.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 12,0.15,96.84,1.0,0.0015489467162329,1.0,0.0,1.0,0.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 43,20.3,7316.8,1.0,0.0027744369123113,1.0,1.0,1.0,0.0,5.0,1,1,0,1,1,0,0,0,28.4629,77.0772
sector 65,3.71,1796.92,2.0,0.0020646439463081,1.0,1.0,1.0,1.0,4.25,0,0,1,1,1,0,1,1,28.403,77.069
sector 102,1.96,1215.88,2.0,0.0016120011843274,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
sector 65,11.5,4519.2,2.0,0.0025446981766684,1.0,1.0,1.0,1.0,4.25,0,0,1,1,1,0,1,1,28.403,77.069
sector 91,6.28,4519.2,1.0,0.0013896264825632,1.0,1.0,1.0,1.0,3.875,0,0,1,1,1,0,1,1,28.4014,76.9225
